trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1729,False,"{'a': 0.7, 'e': 0.024049303512194094}",20,16,6.974062065687305,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1730,False,"{'a': 0.7, 'e': 0.024042351841717248}",30,11,33.787919004310794,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1731,False,"{'a': 0.7, 'e': 0.024035406196088644}",25,11,25.956930181523372,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1732,False,"{'a': 0.7, 'e': 0.024028466566610635}",20,14,12.514601029393809,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1733,False,"{'a': 0.7, 'e': 0.024021532944603168}",25,8,36.27786346560986,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1734,False,"{'a': 0.7, 'e': 0.024014605321403707}",25,16,14.672978693800047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1735,False,"{'a': 0.7, 'e': 0.02400768368836718}",35,26,14.165064251678873,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1736,False,"{'a': 0.7, 'e': 0.024000768036865964}",25,13,23.904865156160916,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1737,False,"{'a': 0.7, 'e': 0.023993858358289818}",25,0,37.750526612787795,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1738,False,"{'a': 0.7, 'e': 0.023986954644045835}",25,20,9.310635119247417,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1739,False,"{'a': 0.7, 'e': 0.023980056885558414}",20,14,-0.4514809197219547,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1740,False,"{'a': 0.7, 'e': 0.023973165074269207}",25,8,29.36139177039932,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1741,False,"{'a': 0.7, 'e': 0.023966279201637065}",25,15,20.612828265967284,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1742,False,"{'a': 0.7, 'e': 0.02395939925913801}",20,9,17.105161855768955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1743,False,"{'a': 0.7, 'e': 0.02395252523826518}",20,15,8.699174378965422,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1744,False,"{'a': 0.7, 'e': 0.023945657130528784}",25,11,26.752483994193884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1745,False,"{'a': 0.7, 'e': 0.023938794927456073}",20,12,16.483086411256846,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1746,False,"{'a': 0.7, 'e': 0.02393193862059127}",25,15,17.654433976616343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
